nome,clube
Maria Bellini Rodrigues,Círculo Militar de Campinas
Henrique Amorim Rodrigues,Associação Atlética Ponte Preta
Maria Cruz Sanches,Guarani Futebol Clube
Vinícius Mesquita Pinto,Sociedade Hípica de Campinas
Larissa de Almeida Amaral,Tênis Clube de Campinas
Vitória Vieira Mengue,Círculo Militar de Campinas
Matheus Paschoalino Rodrigues,Guarani Futebol Clube
Beatriz Martins Camargo,Guarani Futebol Clube
Felipe Amorim Araujo,Sociedade Hípica de Campinas
Mariana Paschoalino Ribeiro,Associação Atlética Ponte Preta
Gabriel Cruz Silva,Associação Atlética Ponte Preta
Vitória Bellini Barbosa,Guarani Futebol Clube
Rafael Alves dos Santos,Guarani Futebol Clube
Erik Alves Lima,Guarani Futebol Clube
Vinícius Franco Mengue,Tênis Clube de Campinas
Sofia Mesquita Mendonça,Sociedade Hípica de Campinas
Erik Gomes Mendonça,Associação Atlética Ponte Preta
Livia Bellini da Costa,Associação Atlética Ponte Preta
Mariana Bellini Lopes,Associação Atlética Ponte Preta
Maria Cristine Araujo,Sociedade Hípica de Campinas
Livia Alves Melo,Associação Atlética Ponte Preta
Vitória Queiroz Trindade,Associação Atlética Ponte Preta
Maria Amorim Barbosa,Tênis Clube de Campinas
Livia Gomes Ribeiro,Círculo Militar de Campinas
Victor Cristine Lopes,Sociedade Hípica de Campinas
Miguel de Almeida Pereira,Associação Atlética Ponte Preta
Maria Bellini Pereira,Guarani Futebol Clube
Rafael Santana Athayde,Tênis Clube de Campinas
Daniel Vieira Barbosa,Guarani Futebol Clube
Matheus Braz Machado,Guarani Futebol Clube
Matheus Cruz Mengue,Círculo Militar de Campinas
Matheus Paschoalino Pereira,Círculo Militar de Campinas
Vinícius Paschoalino Trindade,Sociedade Hípica de Campinas
Rafael Alves Araujo,Associação Atlética Ponte Preta
João da Silva Mendonça,Círculo Militar de Campinas
Pedro Mesquita Ribeiro,Tênis Clube de Campinas
Vinícius Amorim Mengue,Tênis Clube de Campinas
Guilherme Mesquita Machado,Sociedade Hípica de Campinas
Vinícius de Almeida Sanches,Associação Atlética Ponte Preta
Guilherme Mesquita Pinto,Círculo Militar de Campinas
Rafael da Silva Amancio,Sociedade Hípica de Campinas
Guilherme Alves Mendes,Associação Atlética Ponte Preta
Maria Cruz Sanches,Sociedade Hípica de Campinas
Livia Cristine Pinto,Círculo Militar de Campinas
Henrique Cristine Mengue,Círculo Militar de Campinas
Vinícius Amorim Mengue,Guarani Futebol Clube
André de Almeida Castilho,Tênis Clube de Campinas
Felipe Cristine Barbosa,Associação Atlética Ponte Preta
Clara Cristine Lima,Círculo Militar de Campinas
Eduardo Gomes Ribeiro,Guarani Futebol Clube
Pedro da Silva Rodrigues,Tênis Clube de Campinas
Sofia Braz Soares,Tênis Clube de Campinas
Matheus de Oliveira Domingues,Associação Atlética Ponte Preta
Thiago Cristine Sanches,Círculo Militar de Campinas
Livia de Almeida Amaral,Sociedade Hípica de Campinas
Daniel de Medeiros dos Santos,Tênis Clube de Campinas
Larissa Ferreira Rodrigues,Círculo Militar de Campinas
Guilherme Queiroz Amaral,Sociedade Hípica de Campinas
Thiago Cristine da Costa,Círculo Militar de Campinas
Yasmin Mesquita Sanches,Tênis Clube de Campinas
Larissa Martins Melo,Sociedade Hípica de Campinas
Samuel de Oliveira Campos,Círculo Militar de Campinas
Vitória Paschoalino Amancio,Sociedade Hípica de Campinas
Beatriz Cristine Sanches,Guarani Futebol Clube
Larissa da Silva Campos,Tênis Clube de Campinas
Guilherme Santana Melo,Sociedade Hípica de Campinas
Felipe Fernandes da Costa,Círculo Militar de Campinas
Miguel Santana da Costa,Círculo Militar de Campinas
Pedro Mesquita Amaral,Guarani Futebol Clube
Eduardo Queiroz Lima,Círculo Militar de Campinas
Mariana Vieira Castilho,Círculo Militar de Campinas
Rafael Santana Melo,Tênis Clube de Campinas
Felipe Franco dos Santos,Círculo Militar de Campinas
Beatriz Braz Mendes,Sociedade Hípica de Campinas
Maria Paschoalino Senzaki,Tênis Clube de Campinas
Vitória Fernandes Mendonça,Sociedade Hípica de Campinas
Giovanna Braz Melo,Sociedade Hípica de Campinas
Felipe Bellini Araujo,Guarani Futebol Clube
Henrique Franco Amaral,Tênis Clube de Campinas
Miguel Bellini Barbosa,Círculo Militar de Campinas
Clara Martins Mengue,Círculo Militar de Campinas
Miguel Gomes Rodrigues,Sociedade Hípica de Campinas
Yasmin de Medeiros Dias,Associação Atlética Ponte Preta
Giovanna Ferreira Barbosa,Guarani Futebol Clube
Pedro de Medeiros Domingues,Associação Atlética Ponte Preta
Maria Franco Castilho,Associação Atlética Ponte Preta
Samuel de Almeida Senzaki,Guarani Futebol Clube
Thiago Fernandes Pereira,Guarani Futebol Clube
Larissa Alves Camargo,Guarani Futebol Clube
Thiago Fernandes Camargo,Guarani Futebol Clube
Beatriz de Oliveira Amancio,Tênis Clube de Campinas
Rafael Amorim Campos,Guarani Futebol Clube
Beatriz de Oliveira Machado,Sociedade Hípica de Campinas
Giovanna Gomes Amancio,Guarani Futebol Clube
Vitória Nascimento Pinto,Círculo Militar de Campinas
Mariana Nascimento Trindade,Círculo Militar de Campinas
Guilherme Matos Senzaki,Associação Atlética Ponte Preta
Mariana Nascimento Trindade,Sociedade Hípica de Campinas
Victor Ferreira Athayde,Guarani Futebol Clube
João Braz Silva,Associação Atlética Ponte Preta
Thiago Ferreira Soares,Sociedade Hípica de Campinas
Gabriel Nascimento Pinto,Sociedade Hípica de Campinas
Henrique Amorim Melo,Guarani Futebol Clube
Vinícius Queiroz Pinto,Sociedade Hípica de Campinas
Samuel Gomes Ribeiro,Círculo Militar de Campinas
Miguel Vieira Dias,Círculo Militar de Campinas
Victor Cruz Pinto,Tênis Clube de Campinas
Mariana Martins Mendes,Associação Atlética Ponte Preta
Victor de Medeiros Mendes,Sociedade Hípica de Campinas
Livia Ponciano Soares,Sociedade Hípica de Campinas
Rafael Santana Mendonça,Círculo Militar de Campinas
Felipe Cruz Athayde,Círculo Militar de Campinas
Giovanna Franco Sanches,Sociedade Hípica de Campinas
Maria da Silva Araujo,Sociedade Hípica de Campinas
Daniel Bellini Lima,Sociedade Hípica de Campinas
Guilherme de Medeiros Soares,Guarani Futebol Clube
Miguel Queiroz Lopes,Guarani Futebol Clube
Guilherme Braz Trindade,Círculo Militar de Campinas
Gabriel Santana Silva,Círculo Militar de Campinas
Guilherme Gomes Silva,Associação Atlética Ponte Preta
João Gomes Dias,Tênis Clube de Campinas
João Mesquita Amancio,Guarani Futebol Clube
Samuel Cristine Dias,Sociedade Hípica de Campinas
Giovanna Cruz Amancio,Guarani Futebol Clube
Vitória Ponciano Machado,Associação Atlética Ponte Preta
Sofia Bellini Amaral,Associação Atlética Ponte Preta
Vitória Matos Soares,Associação Atlética Ponte Preta
Miguel Martins Amaral,Sociedade Hípica de Campinas
André de Oliveira Mendonça,Círculo Militar de Campinas
Erik Martins Pereira,Tênis Clube de Campinas
Daniel Fernandes Senzaki,Tênis Clube de Campinas
Guilherme Ferreira Soares,Tênis Clube de Campinas
Guilherme Ferreira da Costa,Círculo Militar de Campinas
Gabriel Cristine Mendes,Círculo Militar de Campinas
Thiago Ferreira Soares,Guarani Futebol Clube
Larissa de Oliveira Machado,Tênis Clube de Campinas
Guilherme Santana Trindade,Sociedade Hípica de Campinas
Victor Santana Soares,Guarani Futebol Clube
Samuel Vieira Machado,Sociedade Hípica de Campinas
Eduardo Mesquita Dias,Círculo Militar de Campinas
Gabriel Cristine Mendes,Associação Atlética Ponte Preta
Larissa Ponciano Melo,Associação Atlética Ponte Preta
Guilherme Fernandes Castilho,Associação Atlética Ponte Preta
Thiago Mesquita Amaral,Tênis Clube de Campinas
Giovanna de Almeida Rodrigues,Tênis Clube de Campinas
Sofia Cruz Pereira,Associação Atlética Ponte Preta
André Cristine Melo,Sociedade Hípica de Campinas
Erik de Almeida Sanches,Tênis Clube de Campinas
Larissa Paschoalino Rodrigues,Associação Atlética Ponte Preta
Mariana Santana Machado,Guarani Futebol Clube
Daniel Matos Lima,Tênis Clube de Campinas
Felipe Martins Senzaki,Tênis Clube de Campinas
Mariana Santana Lopes,Associação Atlética Ponte Preta
Victor de Oliveira Sanches,Tênis Clube de Campinas
João Mesquita Amancio,Círculo Militar de Campinas
Pedro de Almeida Trindade,Tênis Clube de Campinas
Daniel Ponciano Trindade,Sociedade Hípica de Campinas
Clara Franco Barbosa,Guarani Futebol Clube
Thiago Bellini Mendonça,Tênis Clube de Campinas
Eduardo Cruz Ribeiro,Tênis Clube de Campinas
Henrique Queiroz Senzaki,Associação Atlética Ponte Preta
Eduardo Matos Pinto,Guarani Futebol Clube
Samuel Queiroz Domingues,Guarani Futebol Clube
Vinícius Queiroz Rodrigues,Tênis Clube de Campinas
Daniel Gomes Trindade,Guarani Futebol Clube
João Vieira Trindade,Associação Atlética Ponte Preta
Vinícius Vieira Camargo,Tênis Clube de Campinas
Samuel Cristine Mengue,Tênis Clube de Campinas
João Nascimento Silva,Sociedade Hípica de Campinas
Sofia Santana Dias,Sociedade Hípica de Campinas
Giovanna Cruz Trindade,Sociedade Hípica de Campinas
Giovanna Cruz Senzaki,Guarani Futebol Clube
Felipe Cruz Machado,Guarani Futebol Clube
João Cruz dos Santos,Círculo Militar de Campinas
Maria Alves Lima,Círculo Militar de Campinas
Matheus Ferreira Amancio,Sociedade Hípica de Campinas
Vitória Bellini Ribeiro,Guarani Futebol Clube
Pedro Paschoalino Barbosa,Sociedade Hípica de Campinas
Vinícius Amorim Mendonça,Guarani Futebol Clube
Sofia Franco Castilho,Guarani Futebol Clube
Felipe Paschoalino Rodrigues,Associação Atlética Ponte Preta
Felipe Gomes Amaral,Tênis Clube de Campinas
Clara Martins Senzaki,Associação Atlética Ponte Preta
Guilherme de Oliveira Domingues,Sociedade Hípica de Campinas
Guilherme Braz da Costa,Tênis Clube de Campinas
Vitória Braz Silva,Tênis Clube de Campinas
Livia Ferreira Mengue,Círculo Militar de Campinas
Clara Cristine Silva,Associação Atlética Ponte Preta
Sofia de Oliveira Soares,Guarani Futebol Clube
Daniel Martins Silva,Tênis Clube de Campinas
João Fernandes Ribeiro,Guarani Futebol Clube
Guilherme Santana Trindade,Associação Atlética Ponte Preta
Livia Ferreira Athayde,Associação Atlética Ponte Preta
Vitória Braz Mendonça,Associação Atlética Ponte Preta
Yasmin Cruz Domingues,Associação Atlética Ponte Preta
Vitória Ponciano Amaral,Guarani Futebol Clube
Sofia Matos dos Santos,Associação Atlética Ponte Preta
Samuel Vieira Machado,Tênis Clube de Campinas
Livia Franco Machado,Guarani Futebol Clube
Victor Queiroz Pereira,Guarani Futebol Clube
Gabriel Amorim Amancio,Tênis Clube de Campinas
João de Medeiros Soares,Guarani Futebol Clube
Mariana Paschoalino Senzaki,Círculo Militar de Campinas
Giovanna Queiroz Pereira,Sociedade Hípica de Campinas
Victor Gomes Silva,Guarani Futebol Clube
Giovanna de Medeiros Lima,Guarani Futebol Clube
Rafael Braz dos Santos,Círculo Militar de Campinas
João Nascimento Lopes,Tênis Clube de Campinas
Sofia Franco Amaral,Associação Atlética Ponte Preta
Felipe Ponciano Melo,Sociedade Hípica de Campinas
Matheus Mesquita Athayde,Guarani Futebol Clube
Beatriz Santana Ribeiro,Tênis Clube de Campinas
Victor de Medeiros Mendes,Guarani Futebol Clube
Daniel de Oliveira da Costa,Círculo Militar de Campinas
Giovanna Cruz Castilho,Sociedade Hípica de Campinas
Maria Ponciano Mendes,Círculo Militar de Campinas
Livia Ponciano Mendes,Círculo Militar de Campinas
Giovanna Queiroz Pereira,Sociedade Hípica de Campinas
Yasmin Ferreira Sanches,Sociedade Hípica de Campinas
Thiago de Medeiros Araujo,Associação Atlética Ponte Preta
Matheus Alves Ribeiro,Guarani Futebol Clube
Felipe Vieira Mendonça,Associação Atlética Ponte Preta
Mariana Paschoalino Mendonça,Tênis Clube de Campinas
Sofia de Almeida Pinto,Guarani Futebol Clube
Guilherme de Almeida Sanches,Sociedade Hípica de Campinas
Vinícius Ponciano Mendonça,Tênis Clube de Campinas
Yasmin Queiroz Soares,Sociedade Hípica de Campinas
Thiago Mesquita dos Santos,Guarani Futebol Clube
Erik Fernandes Soares,Guarani Futebol Clube
Yasmin Martins Barbosa,Sociedade Hípica de Campinas
Pedro Amorim Barbosa,Tênis Clube de Campinas
Clara Mesquita Lopes,Tênis Clube de Campinas
João da Silva Camargo,Tênis Clube de Campinas
Thiago de Oliveira Machado,Guarani Futebol Clube
João Gomes Camargo,Tênis Clube de Campinas
Giovanna Gomes Melo,Associação Atlética Ponte Preta
Felipe Braz Araujo,Sociedade Hípica de Campinas
Victor Fernandes Amancio,Círculo Militar de Campinas
Thiago Cruz Trindade,Sociedade Hípica de Campinas
Pedro Paschoalino Campos,Associação Atlética Ponte Preta
Eduardo de Almeida Lima,Tênis Clube de Campinas
Guilherme Nascimento Amancio,Associação Atlética Ponte Preta
Livia Santana Soares,Guarani Futebol Clube
Sofia Martins da Costa,Círculo Militar de Campinas
Eduardo Paschoalino Amancio,Tênis Clube de Campinas
Erik Nascimento Mendes,Sociedade Hípica de Campinas
Yasmin Gomes Machado,Guarani Futebol Clube
Daniel de Medeiros Trindade,Sociedade Hípica de Campinas
André Ponciano Lopes,Associação Atlética Ponte Preta
Guilherme Fernandes Amancio,Círculo Militar de Campinas
Samuel Ferreira Camargo,Sociedade Hípica de Campinas
Mariana Nascimento Silva,Tênis Clube de Campinas
Livia Vieira Pereira,Associação Atlética Ponte Preta
Miguel Cruz Amancio,Círculo Militar de Campinas
André Queiroz Castilho,Tênis Clube de Campinas
Livia Nascimento Pereira,Tênis Clube de Campinas
Henrique Franco Trindade,Guarani Futebol Clube
Clara Mesquita Lopes,Associação Atlética Ponte Preta
Larissa de Oliveira Machado,Associação Atlética Ponte Preta
João Ponciano dos Santos,Guarani Futebol Clube
João Queiroz Lima,Associação Atlética Ponte Preta
Daniel Vieira Ribeiro,Associação Atlética Ponte Preta
Henrique Alves Lopes,Círculo Militar de Campinas
Clara Martins Castilho,Sociedade Hípica de Campinas
Daniel Ponciano Lopes,Sociedade Hípica de Campinas
Daniel Amorim Ribeiro,Guarani Futebol Clube
Victor Martins Pinto,Guarani Futebol Clube
Mariana Martins Trindade,Associação Atlética Ponte Preta
Erik Cruz Lima,Sociedade Hípica de Campinas
Victor Matos Ribeiro,Associação Atlética Ponte Preta
Felipe Ponciano Soares,Sociedade Hípica de Campinas
Clara Martins Castilho,Associação Atlética Ponte Preta
Miguel Queiroz Domingues,Sociedade Hípica de Campinas
Samuel Nascimento Mendes,Círculo Militar de Campinas
Erik Matos Mengue,Guarani Futebol Clube
Daniel Fernandes Soares,Círculo Militar de Campinas
André Fernandes Pereira,Círculo Militar de Campinas
Giovanna Nascimento Soares,Tênis Clube de Campinas
Guilherme Nascimento Lopes,Sociedade Hípica de Campinas
André Franco Ribeiro,Guarani Futebol Clube
Pedro Bellini Pinto,Guarani Futebol Clube
Miguel Santana Machado,Sociedade Hípica de Campinas
Gabriel Alves da Costa,Guarani Futebol Clube
Thiago Cruz Campos,Círculo Militar de Campinas
Sofia Franco Rodrigues,Associação Atlética Ponte Preta
Yasmin Franco dos Santos,Tênis Clube de Campinas
Rafael Mesquita Soares,Sociedade Hípica de Campinas
Mariana Braz Senzaki,Sociedade Hípica de Campinas
Erik Nascimento Mendes,Guarani Futebol Clube
Vitória Queiroz Lopes,Sociedade Hípica de Campinas
Miguel Queiroz Lima,Tênis Clube de Campinas
João Queiroz Castilho,Guarani Futebol Clube
Victor Amorim Castilho,Tênis Clube de Campinas
Samuel Ponciano Lopes,Associação Atlética Ponte Preta
Mariana Vieira Machado,Associação Atlética Ponte Preta
Larissa Vieira Araujo,Associação Atlética Ponte Preta
Mariana Mesquita Trindade,Tênis Clube de Campinas
Vitória Amorim Ribeiro,Sociedade Hípica de Campinas
Vinícius Santana Pinto,Círculo Militar de Campinas
Matheus Gomes Amancio,Sociedade Hípica de Campinas
Samuel Cruz Pinto,Sociedade Hípica de Campinas
Miguel Nascimento Mengue,Tênis Clube de Campinas
Daniel Alves dos Santos,Círculo Militar de Campinas
Miguel Gomes Melo,Associação Atlética Ponte Preta
Gabriel Franco Dias,Sociedade Hípica de Campinas
Samuel Martins Sanches,Guarani Futebol Clube
Mariana Matos Machado,Guarani Futebol Clube
Victor de Oliveira Mendonça,Sociedade Hípica de Campinas
Daniel Queiroz Mendes,Associação Atlética Ponte Preta
Erik Amorim Camargo,Tênis Clube de Campinas
Vitória de Oliveira Rodrigues,Círculo Militar de Campinas
Yasmin da Silva da Costa,Círculo Militar de Campinas
Pedro Matos Lopes,Associação Atlética Ponte Preta
Vitória Mesquita Mengue,Sociedade Hípica de Campinas
Sofia Nascimento Senzaki,Guarani Futebol Clube
Miguel Matos Silva,Círculo Militar de Campinas
Maria de Medeiros dos Santos,Tênis Clube de Campinas
Rafael da Silva Ribeiro,Guarani Futebol Clube
Miguel de Oliveira Pinto,Guarani Futebol Clube
Yasmin Gomes da Costa,Tênis Clube de Campinas
Vinícius Nascimento Ribeiro,Guarani Futebol Clube
Guilherme Paschoalino Rodrigues,Círculo Militar de Campinas
Samuel Ponciano Melo,Círculo Militar de Campinas
Mariana Queiroz dos Santos,Sociedade Hípica de Campinas
Larissa Ponciano Castilho,Tênis Clube de Campinas
Livia Braz da Costa,Associação Atlética Ponte Preta
Daniel Fernandes Soares,Sociedade Hípica de Campinas
Miguel Franco Dias,Guarani Futebol Clube
Beatriz de Almeida Barbosa,Guarani Futebol Clube
Rafael Alves Camargo,Círculo Militar de Campinas
Yasmin Ponciano Amaral,Associação Atlética Ponte Preta
Giovanna Ferreira Barbosa,Sociedade Hípica de Campinas
Maria Vieira Domingues,Guarani Futebol Clube
Samuel de Oliveira Lima,Tênis Clube de Campinas
Felipe Amorim dos Santos,Guarani Futebol Clube
Clara Bellini Lopes,Guarani Futebol Clube
Henrique Martins da Costa,Tênis Clube de Campinas
Vitória Queiroz Trindade,Sociedade Hípica de Campinas
Daniel Mesquita Ribeiro,Sociedade Hípica de Campinas
Sofia Matos Camargo,Sociedade Hípica de Campinas
Pedro Alves Trindade,Círculo Militar de Campinas
Samuel Ponciano Mendes,Círculo Militar de Campinas
Samuel Alves Mendonça,Sociedade Hípica de Campinas
Maria Nascimento Mengue,Círculo Militar de Campinas
Larissa Bellini Machado,Associação Atlética Ponte Preta
Matheus Mesquita Camargo,Sociedade Hípica de Campinas
Beatriz Cruz Pinto,Tênis Clube de Campinas
Yasmin Ponciano Amaral,Círculo Militar de Campinas
Victor Cristine Campos,Círculo Militar de Campinas
Vinícius Cruz Rodrigues,Tênis Clube de Campinas
Victor Ferreira Ribeiro,Círculo Militar de Campinas
Vinícius Franco Amaral,Sociedade Hípica de Campinas
Thiago Santana Silva,Sociedade Hípica de Campinas
Miguel Bellini Sanches,Sociedade Hípica de Campinas
Vitória Ponciano Amancio,Tênis Clube de Campinas
João Gomes Athayde,Associação Atlética Ponte Preta
Maria Amorim Athayde,Círculo Militar de Campinas
Matheus Vieira Melo,Guarani Futebol Clube
João de Oliveira Lopes,Guarani Futebol Clube
Erik Alves Mengue,Círculo Militar de Campinas
Vinícius Amorim Machado,Sociedade Hípica de Campinas
Clara Nascimento Soares,Círculo Militar de Campinas
Victor Franco Araujo,Sociedade Hípica de Campinas
Sofia Martins Campos,Associação Atlética Ponte Preta
Matheus Cristine Araujo,Associação Atlética Ponte Preta
Maria Amorim Domingues,Associação Atlética Ponte Preta
Clara Gomes Mengue,Associação Atlética Ponte Preta
Guilherme Ferreira Amaral,Guarani Futebol Clube
Yasmin Martins Camargo,Guarani Futebol Clube
Livia de Almeida Mengue,Círculo Militar de Campinas
Clara de Oliveira Trindade,Associação Atlética Ponte Preta
Henrique Alves Lima,Tênis Clube de Campinas
Larissa Bellini Araujo,Associação Atlética Ponte Preta
André Nascimento Pinto,Tênis Clube de Campinas
Maria Alves Silva,Tênis Clube de Campinas
André de Medeiros Sanches,Sociedade Hípica de Campinas
Felipe de Oliveira Melo,Associação Atlética Ponte Preta
Guilherme Paschoalino Pereira,Associação Atlética Ponte Preta
Matheus Matos Pinto,Sociedade Hípica de Campinas
Samuel Cristine Machado,Guarani Futebol Clube
Giovanna Paschoalino Araujo,Associação Atlética Ponte Preta
Mariana Matos Mendes,Sociedade Hípica de Campinas
Rafael Amorim Trindade,Círculo Militar de Campinas
Pedro Matos Sanches,Tênis Clube de Campinas
Vinícius Gomes Mengue,Tênis Clube de Campinas
Clara Mesquita Camargo,Associação Atlética Ponte Preta
Samuel Cristine Senzaki,Sociedade Hípica de Campinas
Beatriz Fernandes Athayde,Tênis Clube de Campinas
Maria Ferreira Camargo,Associação Atlética Ponte Preta
Gabriel Santana Trindade,Associação Atlética Ponte Preta
Pedro Paschoalino Pinto,Associação Atlética Ponte Preta
Pedro Paschoalino Mengue,Guarani Futebol Clube
Miguel Franco Ribeiro,Círculo Militar de Campinas
Erik Gomes Mengue,Tênis Clube de Campinas
Pedro Cruz Lopes,Sociedade Hípica de Campinas
Thiago de Medeiros Athayde,Círculo Militar de Campinas
Pedro Nascimento Amancio,Guarani Futebol Clube
Samuel Amorim Pinto,Guarani Futebol Clube
Henrique Nascimento Lopes,Sociedade Hípica de Campinas
Thiago Bellini dos Santos,Tênis Clube de Campinas
Erik Ferreira Amaral,Guarani Futebol Clube
