nome,placa,marca,cor
Giovanna Santana Campos,BDA1E30,VW,Preto
Vitória Alves da Costa,ABE0D94,Hyundai,Branco
Erik Vieira Sanches,CFF9C91,Honda,Preto
Guilherme Nascimento Domingues,BAA2D34,Hyundai,Branco
Victor Santana Soares,FEB2D45,Honda,Vermelho
Clara Alves Soares,BFA4A12,Fiat,Cinza
Livia Cruz Mendonça,CFA4E89,VW,Preto
João Queiroz Castilho,FCA2E12,Honda,Azul Claro
Yasmin da Silva Amaral,BFE4E74,VW,Azul Claro
Beatriz Cristine Silva,CCA0E90,Chevrolet,Cinza
Daniel Santana Rodrigues,BEC6C17,Fiat,Preto
Erik Ferreira Rodrigues,BED2B31,Honda,Vermelho
Guilherme Santana Melo,FFE7B17,Hyundai,Preto
Thiago Vieira Silva,AAF6E80,Honda,Branco
Thiago Gomes Domingues,AFA1E64,Honda,Azul Claro
Eduardo Vieira Mendonça,ACE1A74,VW,Preto
Vitória Gomes Lopes,CAC1B54,Toyota,Vermelho
Vinícius Amorim Mendonça,BAC8E64,Toyota,Cinza
Beatriz Fernandes Melo,BCD6D80,Toyota,Cinza
Vitória Martins Domingues,FDF9E82,Fiat,Prata
Pedro Cruz Melo,CFB6E77,Toyota,Preto
Miguel Braz Domingues,ACA7D35,Hyundai,Cinza
Pedro Gomes Athayde,BCF4E78,VW,Branco
João Alves Soares,EBD4C77,Chevrolet,Branco
Yasmin Bellini dos Santos,CDD9D95,VW,Vermelho
Gabriel de Almeida Rodrigues,FAD8C99,Fiat,Vermelho
Miguel de Almeida Barbosa,EBB0C57,Fiat,Branco
Sofia Ponciano Amancio,BAE3E50,Toyota,Azul Claro
Pedro Matos Sanches,FDC9A44,Fiat,Prata
Miguel Cruz Pinto,AAB3C49,Chevrolet,Azul Claro
Sofia Mesquita Lopes,ADB5E67,Toyota,Preto
Livia da Silva Dias,CAD3D68,Honda,Branco
Eduardo Cruz da Costa,CDA1B64,Fiat,Cinza
Vitória Fernandes Amancio,CEB9C39,Fiat,Prata
Gabriel Cristine Lopes,EFD9B69,VW,Azul Claro
Vitória Amorim Machado,DCD5A57,Chevrolet,Vermelho
Samuel Ferreira Araujo,BDD8A99,Honda,Azul Claro
Mariana Amorim Domingues,CBC3C18,Toyota,Vermelho
Daniel de Medeiros Sanches,BCE4D18,Chevrolet,Cinza
Gabriel Braz Lima,DFF1E78,Chevrolet,Preto
Giovanna de Almeida Dias,DCC8A20,Chevrolet,Preto
Mariana Nascimento Campos,BCC4D91,Toyota,Vermelho
Vitória Santana Amancio,DEF7B13,Chevrolet,Cinza
Beatriz da Silva Castilho,FCE6A20,Chevrolet,Prata
Matheus Amorim Amaral,CCE0D10,Toyota,Azul Claro
Miguel Bellini Barbosa,CDE3C44,Fiat,Azul Claro
Maria de Oliveira Sanches,BDE7A23,Fiat,Cinza
Larissa de Medeiros Silva,ADE1E37,Fiat,Azul Claro
Sofia Paschoalino Mengue,DDC9C93,Hyundai,Vermelho
Victor Santana Machado,ADE2D73,Honda,Prata
Vinícius de Medeiros dos Santos,ADE8A42,Toyota,Branco
Samuel Braz Domingues,DAD4E12,Chevrolet,Vermelho
Felipe Paschoalino Senzaki,CFB8D18,Hyundai,Branco
André Santana Camargo,CDB4B12,VW,Vermelho
Miguel Santana Domingues,ACD2E80,VW,Cinza
Miguel Ferreira Mendes,AEA7E10,VW,Cinza
Daniel Santana dos Santos,CDD4B99,Toyota,Cinza
Gabriel Martins Domingues,FEA0A80,Chevrolet,Vermelho
Gabriel Mesquita Senzaki,AEF2E65,Honda,Vermelho
Miguel Martins Ribeiro,CEC2E45,Fiat,Branco
Erik Alves Amancio,ABB3C56,Fiat,Cinza
Maria Braz Lopes,ABE5B67,VW,Preto
Giovanna Vieira Senzaki,BCC5D79,Hyundai,Preto
Rafael Cruz da Costa,BEF6E72,Chevrolet,Preto
Vitória Mesquita Mengue,BAC8C98,Honda,Vermelho
Vinícius Cristine Lima,EFD0B60,Toyota,Cinza
Pedro Ferreira Mendonça,AED5A37,VW,Vermelho
Vinícius Queiroz Rodrigues,BFD2B34,Fiat,Vermelho
Erik Amorim Ribeiro,DDC6D60,Toyota,Preto
Guilherme Braz Lopes,FFB0D96,Toyota,Preto
Giovanna Gomes Senzaki,AEB0A61,Honda,Branco
Larissa Alves Domingues,DFC5A42,Honda,Prata
Miguel da Silva Soares,DFC3D28,Honda,Cinza
Yasmin Paschoalino Lopes,EEB9C14,Toyota,Cinza
Samuel Matos Trindade,CAF4E37,Honda,Vermelho
Yasmin Cruz Machado,DEC9E16,VW,Branco
Maria da Silva Castilho,BAF2A57,Hyundai,Branco
João Paschoalino Camargo,CAA2C73,Fiat,Prata
Maria Franco Silva,CBC4E19,Hyundai,Vermelho
Livia Franco Pereira,ABC1A13,Toyota,Prata
Henrique da Silva Silva,AAA0B64,Honda,Prata
Samuel Santana Domingues,BBB8A35,Honda,Prata
Yasmin Ferreira Soares,EED1D11,Hyundai,Preto
Maria Braz Mengue,BFE0A26,Honda,Prata
Henrique Paschoalino Pereira,FDC6B24,Fiat,Branco
Sofia Martins Senzaki,FFA2D50,Chevrolet,Vermelho
Felipe Vieira Trindade,EAC8D30,VW,Vermelho
Victor Gomes Machado,FCC6E72,Toyota,Preto
Matheus Ferreira Lima,FAB4D20,Honda,Vermelho
Guilherme de Almeida Sanches,FEA4B44,Honda,Azul Claro
Vinícius Ponciano Pereira,EAC6A93,Toyota,Vermelho
Samuel Mesquita Mendonça,BCE1A16,Toyota,Vermelho
Erik de Oliveira Mendes,BAE5A11,Chevrolet,Cinza
Thiago Fernandes Amaral,CBC9B83,Honda,Azul Claro
Yasmin Fernandes Dias,EAD9B94,VW,Cinza
Eduardo Paschoalino dos Santos,FBE8C32,Honda,Prata
Matheus Alves dos Santos,ACD9D38,Hyundai,Preto
Erik de Almeida Domingues,BAE0E52,Chevrolet,Branco
Felipe Nascimento Dias,BAC6C60,Honda,Preto
João Nascimento Lopes,BBF3B72,Fiat,Cinza
Henrique Franco Amaral,CEE2B84,Toyota,Vermelho
Rafael Matos Amaral,AFB8A98,Honda,Preto
André Ferreira Camargo,DFE5D49,Hyundai,Prata
Thiago Amorim Silva,ABD4C34,Honda,Prata
Larissa Cristine Senzaki,BFD1C41,Chevrolet,Vermelho
Miguel de Medeiros Amancio,CEB7B77,VW,Branco
Larissa Nascimento Campos,DBF6D45,Hyundai,Vermelho
Clara Franco Barbosa,CAD1D82,Hyundai,Cinza
Erik Fernandes Soares,BCA7A37,VW,Prata
André Fernandes Amancio,BBE2B44,Fiat,Vermelho
Maria Ferreira Ribeiro,FBF2D73,Hyundai,Cinza
Thiago Gomes Senzaki,BEB5E43,VW,Cinza
Giovanna Ferreira Domingues,DBE2A92,Hyundai,Prata
Larissa Cristine Sanches,DAD7B54,Toyota,Cinza
Rafael Cruz Ribeiro,DBB0A25,Fiat,Cinza
Gabriel de Medeiros Melo,DDA3A68,Honda,Azul Claro
Pedro Nascimento Ribeiro,BAE3E56,VW,Branco
Samuel Bellini Domingues,AFF6B54,Toyota,Cinza
Beatriz Amorim Lima,BCA5D96,Honda,Branco
Vinícius Matos Amancio,DCE7A64,Chevrolet,Branco
Vinícius Santana Pinto,AEF8D69,Honda,Preto
Sofia Alves Mendonça,BCC6D26,Honda,Preto
Giovanna Braz Senzaki,FBE3D18,Fiat,Cinza
Maria Cristine Machado,ADB8D67,Honda,Preto
Erik Bellini Pereira,FAF2D68,Honda,Preto
Rafael Ferreira Castilho,EDE2C89,Fiat,Vermelho
Eduardo Bellini Athayde,DEC7C75,Fiat,Prata
Sofia Franco Rodrigues,FAA9C37,Honda,Prata
Sofia Ponciano Pereira,BAA2A23,VW,Branco
Eduardo Queiroz Lima,EDD3D69,Fiat,Cinza
Pedro Nascimento Amancio,DEE8B28,Toyota,Prata
Victor Gomes Lima,CCB5E96,Honda,Prata
Larissa da Silva Amaral,FDE9A74,Fiat,Preto
Clara Amorim Castilho,AAE3B56,Fiat,Prata
Giovanna Cruz Mendonça,EEC8C21,Fiat,Cinza
Vinícius Cruz Amaral,ADB3A82,VW,Vermelho
Pedro Cruz Castilho,DBE2C30,Hyundai,Cinza
Clara de Medeiros Athayde,DCF5D51,Hyundai,Preto
Henrique da Silva Sanches,BED6A73,Honda,Branco
Giovanna de Oliveira Mengue,DBB3A64,Honda,Branco
Eduardo Martins Campos,ADD2D20,VW,Vermelho
Erik Nascimento Ribeiro,DAF8B49,Fiat,Vermelho
Beatriz de Medeiros Senzaki,FEB8A28,Hyundai,Prata
Guilherme Martins Pinto,CAF4C38,Fiat,Vermelho
Sofia Queiroz Pereira,ADB7D17,Toyota,Prata
Beatriz de Almeida Melo,BDE7D24,Fiat,Azul Claro
Samuel Fernandes da Costa,DEA0E30,Chevrolet,Azul Claro
André Bellini Machado,FEE8A45,VW,Prata
Beatriz Mesquita Ribeiro,AAB6A45,Fiat,Azul Claro
Pedro Cruz Amancio,BFF9B42,VW,Preto
Sofia Mesquita Mendonça,BCB3A89,Chevrolet,Azul Claro
Beatriz Ferreira Araujo,EFF0A60,VW,Vermelho
Maria Nascimento Domingues,CAD0D43,VW,Preto
Gabriel Nascimento Pinto,CFF9B40,Toyota,Preto
Rafael Vieira Mendes,CDD6D88,Toyota,Preto
Clara Martins Mendes,FCF3B70,Hyundai,Branco
Rafael Braz Araujo,DFD2B39,Toyota,Branco
André Vieira Ribeiro,AEF5D67,Honda,Prata
Giovanna Braz Machado,CDF3A53,VW,Prata
Gabriel Queiroz Melo,BDC7E25,Honda,Preto
Thiago Franco Trindade,CCB7E38,Hyundai,Cinza
Eduardo de Almeida Dias,BEE0B65,Toyota,Vermelho
Matheus Alves Domingues,FDE4D57,Chevrolet,Branco
Yasmin Braz da Costa,FDC1D58,Chevrolet,Vermelho
Erik Bellini Mendonça,CBE3E85,Chevrolet,Vermelho
Clara Mesquita Mendes,ACB7B27,Hyundai,Azul Claro
Eduardo Bellini Sanches,ADD3D28,Chevrolet,Preto
Vitória Cruz Senzaki,CAB2E66,VW,Vermelho
André Martins Lima,CBA2B41,Honda,Prata
Rafael Amorim Silva,BFA3C44,Hyundai,Branco
Livia Santana Trindade,DFA1E47,Hyundai,Cinza
João da Silva Domingues,EFD1D30,Fiat,Azul Claro
Mariana da Silva Athayde,AFD2B17,Hyundai,Vermelho
Yasmin Ponciano Ribeiro,FFB8B74,Chevrolet,Vermelho
Henrique Gomes Lima,FFE2C11,Fiat,Cinza
Mariana Bellini Sanches,BBD5E99,Fiat,Prata
André Braz Amaral,AAC9B16,Chevrolet,Azul Claro
Miguel Paschoalino Araujo,BDA9A57,Chevrolet,Preto
Miguel Vieira Dias,BAD7B35,VW,Azul Claro
Pedro Ferreira da Costa,FEB6C71,Honda,Branco
Clara de Oliveira Dias,DFE5B92,Chevrolet,Azul Claro
Erik Vieira Araujo,AFD8B76,Hyundai,Preto
Mariana de Almeida Pinto,DDC9B24,Honda,Branco
Rafael Ferreira Melo,ECF3C35,Chevrolet,Branco
Daniel Bellini Ribeiro,ECB9D36,VW,Prata
Matheus Cristine Campos,FDB5D61,Chevrolet,Cinza
Maria Martins Castilho,FBD7D99,Chevrolet,Prata
Beatriz da Silva Mendes,EBE5D84,Honda,Branco
Felipe Ferreira Domingues,EBB8E36,Honda,Azul Claro
Clara Vieira Melo,FAB3A41,Fiat,Preto
Samuel Cristine Dias,FED6C41,Fiat,Preto
Larissa Cristine Athayde,EAA9C50,Honda,Cinza
Vitória Vieira Dias,BCD7C23,Chevrolet,Prata
Samuel da Silva Senzaki,BCA2D88,Chevrolet,Azul Claro
Vitória Ponciano Amancio,FFB8B32,Honda,Prata
Miguel Queiroz Lima,BBC9E24,Fiat,Preto
Clara Martins Mendonça,DAB0B67,Honda,Branco
Guilherme Matos Trindade,BBA7C43,VW,Vermelho
Guilherme Fernandes Amaral,FFF5D71,Fiat,Azul Claro
Samuel Ferreira Camargo,EDA3A98,Hyundai,Vermelho
Samuel Paschoalino Senzaki,DEC7A40,VW,Prata
Rafael de Medeiros Machado,EDE3D73,Chevrolet,Preto
Pedro Santana dos Santos,EAD3D38,Honda,Cinza
Eduardo Amorim Machado,ABD9C38,Chevrolet,Azul Claro
Clara Gomes Amaral,FEC9A92,Toyota,Vermelho
Guilherme Paschoalino Machado,CAD1A49,Chevrolet,Vermelho
Larissa Ponciano Pinto,BFF6D25,Chevrolet,Preto
Miguel de Medeiros Dias,CAC6D54,Hyundai,Vermelho
Livia Ferreira Senzaki,BDD4D41,Honda,Vermelho
Yasmin Ferreira Sanches,CEF1D68,Fiat,Azul Claro
Erik Ferreira Domingues,DDA7A22,Fiat,Azul Claro
Matheus Amorim Amancio,DEA2A34,Chevrolet,Prata
Yasmin Cristine Mendonça,BBC3B33,Hyundai,Branco
Maria Franco Mengue,DDB8D98,Toyota,Vermelho
João Santana Mendonça,CEB3D13,Toyota,Cinza
Erik Braz Rodrigues,CAD5E87,Hyundai,Cinza
Matheus Santana Melo,AAA5D74,Chevrolet,Vermelho
Felipe Queiroz Trindade,CAF4C69,Hyundai,Vermelho
Pedro Cruz Pinto,EDF5A92,Fiat,Branco
