id,nome,altura,endereco
1061,Miguel Paschoalino Araujo,196,"Avenida Albino José Barbosa de Oliveira, 3305 - Barão Geraldo"
1062,Yasmin Bellini Machado,156,"Avenida Albino José Barbosa de Oliveira, 1128 - Barão Geraldo"
1063,Larissa de Almeida Machado,193,"Avenida Albino José Barbosa de Oliveira, 745 - Barão Geraldo"
1064,Daniel Amorim Camargo,157,"Avenida Albino José Barbosa de Oliveira, 1097 - Barão Geraldo"
1065,Vitória Amorim Machado,196,"Avenida Alberto Sarmento, 745 - Castelo"
1066,Vinícius de Oliveira Silva,184,"Rua Coronel Quirino, 1825 - Cambuí"
1067,João de Almeida Mendes,163,"Avenida Brasil, 1142 - Guanabara"
1068,Larissa Martins Mengue,166,"Avenida Francisco Glicério, 495 - Centro"
1069,Vinícius Braz Ribeiro,185,"Rua Coronel Quirino, 178 - Cambuí"
1070,André Cristine Campos,199,"Avenida Brasil, 1377 - Guanabara"
1071,Vitória Mesquita Trindade,189,"Avenida Anchieta, 266 - Centro"
1072,Beatriz Santana Dias,153,"Rua Paula Bueno, 490 - Taquaral"
1073,Clara Vieira Araujo,151,"Avenida Alberto Sarmento, 1122 - Castelo"
1074,Pedro Vieira Lima,155,"Avenida Heitor Penteado, 1236 - Taquaral"
1075,Sofia Cruz Silva,203,"Rua Paula Bueno, 927 - Taquaral"
1076,Matheus Alves Mendes,191,"Avenida Albino José Barbosa de Oliveira, 1943 - Barão Geraldo"
1077,Erik Bellini Machado,153,"Avenida Alberto Sarmento, 824 - Castelo"
1078,Vinícius Ponciano dos Santos,203,"Avenida Francisco Glicério, 869 - Centro"
1079,Sofia Matos dos Santos,178,"Avenida Albino José Barbosa de Oliveira, 2122 - Barão Geraldo"
1080,Rafael Mesquita Pereira,167,"Rua Barão de Itapura, 3059 - Guanabara"
1081,Matheus Amorim Campos,175,"Rua Doutor Delfino Cintra, 358 - Vila Itapura"
1082,Miguel Martins Lopes,193,"Rua Marechal Deodoro, 741 - Vila Itapura"
1083,Daniel Santana Trindade,183,"Rua Marechal Deodoro, 978 - Vila Itapura"
1084,Clara Braz Mengue,159,"Rua Doutor Delfino Cintra, 224 - Vila Itapura"
1085,Victor Gomes Trindade,185,"Avenida Albino José Barbosa de Oliveira, 2297 - Barão Geraldo"
1086,Victor Santana Mengue,163,"Rua Coronel Quirino, 384 - Cambuí"
1087,Clara Matos Castilho,180,"Avenida Brasil, 1261 - Guanabara"
1088,Beatriz Santana Amancio,197,"Avenida Alberto Sarmento, 1033 - Castelo"
1089,Beatriz Braz Amancio,164,"Rua Doutor Delfino Cintra, 357 - Vila Itapura"
1090,Samuel Santana Melo,157,"Avenida Anchieta, 445 - Centro"
1091,Matheus Alves dos Santos,163,"Avenida Andrade Neves, 2212 - Castelo"
1092,Sofia Cruz Araujo,172,"Rua Paula Bueno, 147 - Taquaral"
1093,Victor Ferreira Ribeiro,189,"Avenida Brasil, 579 - Guanabara"
1094,Gabriel Alves da Costa,170,"Avenida Anchieta, 591 - Centro"
1095,Maria de Oliveira Senzaki,165,"Avenida Andrade Neves, 1571 - Castelo"
1096,Daniel Queiroz Domingues,194,"Avenida Anchieta, 75 - Centro"
1097,João Ponciano Domingues,167,"Rua Barão de Itapura, 871 - Guanabara"
1098,Miguel de Medeiros Soares,196,"Avenida Albino José Barbosa de Oliveira, 1356 - Barão Geraldo"
1099,Mariana Amorim Senzaki,202,"Rua Barão de Itapura, 2717 - Guanabara"
1100,Beatriz Nascimento Araujo,173,"Avenida Heitor Penteado, 712 - Taquaral"
1101,Henrique Cristine Trindade,175,"Rua Sampaio Ferraz, 576 - Cambuí"
1102,Felipe de Oliveira Mendes,174,"Avenida Francisco Glicério, 2481 - Centro"
1103,Miguel Cruz Domingues,194,"Avenida Albino José Barbosa de Oliveira, 774 - Barão Geraldo"
1104,Erik Bellini Lopes,190,"Avenida Francisco Glicério, 1590 - Centro"
1105,Gabriel Vieira Lopes,178,"Avenida Heitor Penteado, 964 - Taquaral"
1106,Thiago Gomes Senzaki,164,"Avenida Heitor Penteado, 1872 - Taquaral"
1107,Beatriz Amorim Mendes,194,"Rua Coronel Quirino, 1161 - Cambuí"
1108,Vitória Paschoalino Amancio,150,"Rua Maria Monteiro, 679 - Cambuí"
1109,Larissa Santana Mendonça,174,"Rua Doutor Delfino Cintra, 410 - Vila Itapura"
1110,Maria Alves Ribeiro,156,"Avenida Francisco Glicério, 538 - Centro"
1111,Felipe Nascimento Athayde,158,"Rua Barão de Itapura, 2058 - Guanabara"
1112,Erik Nascimento Mengue,173,"Avenida Alberto Sarmento, 806 - Castelo"
1113,Livia Bellini da Costa,150,"Rua Marechal Deodoro, 366 - Vila Itapura"
1114,Thiago Fernandes Camargo,193,"Rua Marechal Deodoro, 734 - Vila Itapura"
1115,Maria Matos Araujo,157,"Avenida Albino José Barbosa de Oliveira, 660 - Barão Geraldo"
1116,Thiago Gomes Soares,173,"Rua Barão de Itapura, 2506 - Guanabara"
1117,Rafael Alves Silva,160,"Avenida Anchieta, 292 - Centro"
1118,Felipe Mesquita dos Santos,200,"Avenida Francisco Glicério, 594 - Centro"
1119,Beatriz Ferreira Araujo,166,"Avenida Albino José Barbosa de Oliveira, 3387 - Barão Geraldo"
1120,Sofia de Medeiros Araujo,157,"Avenida Albino José Barbosa de Oliveira, 2163 - Barão Geraldo"
1121,Henrique de Medeiros Athayde,184,"Rua Paula Bueno, 1042 - Taquaral"
1122,Victor Alves Machado,184,"Avenida Albino José Barbosa de Oliveira, 3029 - Barão Geraldo"
1123,Beatriz Oliveira de Almeida,182,"Rua Maria Monteiro, 450 - Cambuí"
1124,Samuel Vieira Barbosa,154,"Avenida Albino José Barbosa de Oliveira, 2878 - Barão Geraldo"
1125,Erik Vieira Amaral,191,"Rua Doutor Delfino Cintra, 410 - Vila Itapura"
1126,Clara Queiroz Barbosa,188,"Avenida Brasil, 1710 - Guanabara"
1127,Gabriel Nascimento Senzaki,190,"Avenida Francisco Glicério, 1779 - Centro"
1128,Victor Santana Dias,177,"Avenida Albino José Barbosa de Oliveira, 2709 - Barão Geraldo"
1129,Vinícius de Medeiros Amaral,156,"Avenida Francisco Glicério, 1621 - Centro"
1130,Clara Ponciano Soares,158,"Avenida Alberto Sarmento, 500 - Castelo"
1131,Victor Ferreira Machado,157,"Rua Marechal Deodoro, 660 - Vila Itapura"
1132,Henrique Bellini dos Santos,161,"Avenida Andrade Neves, 2740 - Castelo"
1133,Matheus Matos Pinto,183,"Rua Sampaio Ferraz, 232 - Cambuí"
1134,Gabriel Bellini Pereira,182,"Avenida Albino José Barbosa de Oliveira, 3130 - Barão Geraldo"
1135,Eduardo Queiroz Castilho,197,"Avenida Brasil, 1520 - Guanabara"
1136,Guilherme Fernandes Pinto,204,"Rua Maria Monteiro, 1043 - Cambuí"
1137,Larissa Vieira Mengue,172,"Rua Doutor Delfino Cintra, 429 - Vila Itapura"
1138,Miguel Franco Dias,173,"Avenida Albino José Barbosa de Oliveira, 1045 - Barão Geraldo"
1139,Daniel Vieira Mendes,186,"Avenida Francisco Glicério, 1903 - Centro"
1140,Felipe Martins Melo,184,"Rua Maria Monteiro, 1318 - Cambuí"
1141,Eduardo da Silva Amancio,193,"Avenida Andrade Neves, 1571 - Castelo"
1142,Gabriel da Silva Camargo,189,"Rua Paula Bueno, 498 - Taquaral"
1143,Erik Fernandes Sanches,171,"Avenida Albino José Barbosa de Oliveira, 53 - Barão Geraldo"
1144,Sofia Matos Camargo,176,"Avenida Heitor Penteado, 2914 - Taquaral"
1145,Vinícius Amorim Machado,184,"Avenida Anchieta, 696 - Centro"
1146,André Queiroz Sanches,150,"Avenida Andrade Neves, 1995 - Castelo"
1147,Sofia Mesquita Soares,184,"Avenida Albino José Barbosa de Oliveira, 348 - Barão Geraldo"
1148,Daniel Cruz Melo,186,"Avenida Brasil, 1802 - Guanabara"
1149,Daniel Cristine Araujo,196,"Avenida Anchieta, 850 - Centro"
1150,Sofia Cruz Melo,163,"Avenida Heitor Penteado, 708 - Taquaral"
1151,Guilherme Franco dos Santos,152,"Rua Marechal Deodoro, 1343 - Vila Itapura"
1152,Rafael Braz dos Santos,150,"Rua Maria Monteiro, 612 - Cambuí"
1153,Matheus Amorim Barbosa,154,"Rua Sampaio Ferraz, 410 - Cambuí"
1154,Giovanna Martins Ribeiro,175,"Avenida Francisco Glicério, 55 - Centro"
1155,Giovanna de Medeiros Amancio,204,"Avenida Andrade Neves, 638 - Castelo"
1156,Mariana Ponciano Sanches,163,"Avenida Albino José Barbosa de Oliveira, 738 - Barão Geraldo"
1157,Giovanna de Medeiros Mengue,188,"Avenida Francisco Glicério, 2190 - Centro"
1158,Henrique Cruz Castilho,176,"Avenida Anchieta, 723 - Centro"
1159,Giovanna de Almeida Araujo,158,"Rua Sampaio Ferraz, 545 - Cambuí"
1160,Miguel Gomes Rodrigues,164,"Avenida Alberto Sarmento, 809 - Castelo"
1161,Maria Gomes Mengue,164,"Avenida Andrade Neves, 1828 - Castelo"
1162,Daniel Vieira Rodrigues,175,"Rua Sampaio Ferraz, 14 - Cambuí"
1163,Eduardo Gomes Athayde,191,"Rua Coronel Quirino, 1671 - Cambuí"
1164,Vitória da Silva Dias,162,"Avenida Francisco Glicério, 1544 - Centro"
1165,Sofia Cruz Domingues,200,"Avenida Francisco Glicério, 384 - Centro"
1166,Eduardo de Medeiros Camargo,181,"Rua Coronel Quirino, 157 - Cambuí"
1167,João de Medeiros Campos,188,"Rua Coronel Quirino, 1780 - Cambuí"
1168,Felipe Queiroz Trindade,198,"Avenida Francisco Glicério, 913 - Centro"
1169,Matheus Cristine Campos,201,"Rua Sampaio Ferraz, 181 - Cambuí"
1170,Larissa Gomes Barbosa,181,"Avenida Alberto Sarmento, 100 - Castelo"
1171,Maria Franco Araujo,153,"Avenida Albino José Barbosa de Oliveira, 3350 - Barão Geraldo"
1172,Eduardo Santana Barbosa,179,"Rua Paula Bueno, 488 - Taquaral"
1173,Erik de Almeida Domingues,186,"Avenida Brasil, 1628 - Guanabara"
1174,André de Almeida Araujo,172,"Avenida Albino José Barbosa de Oliveira, 961 - Barão Geraldo"
1175,Henrique Ponciano da Costa,188,"Avenida Francisco Glicério, 1470 - Centro"
1176,Matheus Santana Melo,194,"Avenida Heitor Penteado, 71 - Taquaral"
1177,Erik Matos Senzaki,164,"Avenida Albino José Barbosa de Oliveira, 59 - Barão Geraldo"
1178,Livia de Medeiros Barbosa,192,"Avenida Albino José Barbosa de Oliveira, 1889 - Barão Geraldo"
1179,Pedro Santana dos Santos,178,"Avenida Francisco Glicério, 1150 - Centro"
1180,Vitória Fernandes Campos,185,"Avenida Andrade Neves, 189 - Castelo"
1181,Guilherme Santana Trindade,162,"Rua Maria Monteiro, 851 - Cambuí"
1182,André Queiroz dos Santos,181,"Rua Paula Bueno, 308 - Taquaral"
1183,Livia Braz Melo,156,"Avenida Alberto Sarmento, 525 - Castelo"
1184,Clara Bellini Campos,200,"Rua Sampaio Ferraz, 342 - Cambuí"
1185,Mariana Martins Pereira,171,"Avenida Andrade Neves, 2786 - Castelo"
1186,Matheus Gomes Pinto,177,"Rua Marechal Deodoro, 780 - Vila Itapura"
1187,André Cristine Melo,151,"Avenida Anchieta, 881 - Centro"
1188,Erik Ferreira Melo,191,"Avenida Andrade Neves, 286 - Castelo"
1189,Beatriz Cristine Amaral,194,"Avenida Heitor Penteado, 2502 - Taquaral"
1190,Maria da Silva Araujo,202,"Rua Barão de Itapura, 1666 - Guanabara"
1191,Thiago Braz Domingues,155,"Avenida Brasil, 2072 - Guanabara"
1192,Vinícius Martins Senzaki,177,"Avenida Brasil, 962 - Guanabara"
1193,Livia Ferreira dos Santos,177,"Rua Sampaio Ferraz, 137 - Cambuí"
1194,Giovanna de Medeiros Rodrigues,193,"Avenida Heitor Penteado, 1765 - Taquaral"
1195,Maria Paschoalino Machado,193,"Rua Marechal Deodoro, 1369 - Vila Itapura"
1196,Thiago Gomes Soares,169,"Rua Maria Monteiro, 291 - Cambuí"
1197,Yasmin Queiroz dos Santos,179,"Rua Paula Bueno, 707 - Taquaral"
1198,João Ponciano Amancio,160,"Avenida Francisco Glicério, 1549 - Centro"
1199,Matheus Braz Amaral,204,"Avenida Francisco Glicério, 985 - Centro"
1200,Henrique Queiroz Barbosa,177,"Avenida Andrade Neves, 1356 - Castelo"
1201,Daniel Mesquita Machado,174,"Avenida Anchieta, 335 - Centro"
1202,Guilherme Queiroz Domingues,188,"Avenida Alberto Sarmento, 1076 - Castelo"
1203,Henrique Nascimento Rodrigues,182,"Rua Doutor Delfino Cintra, 673 - Vila Itapura"
1204,Guilherme Gomes Silva,150,"Rua Doutor Delfino Cintra, 778 - Vila Itapura"
1205,Felipe Ponciano Soares,176,"Rua Maria Monteiro, 1510 - Cambuí"
1206,Livia Queiroz Araujo,201,"Rua Paula Bueno, 596 - Taquaral"
1207,Erik Franco Dias,162,"Avenida Francisco Glicério, 1027 - Centro"
1208,Guilherme Nascimento Mendes,190,"Rua Marechal Deodoro, 1345 - Vila Itapura"
1209,Vitória Paschoalino Camargo,152,"Rua Doutor Delfino Cintra, 543 - Vila Itapura"
1210,Guilherme de Oliveira Domingues,188,"Avenida Heitor Penteado, 1821 - Taquaral"
1211,Thiago Ferreira Amaral,155,"Avenida Alberto Sarmento, 142 - Castelo"
1212,Mariana Braz Lopes,157,"Rua Doutor Delfino Cintra, 81 - Vila Itapura"
1213,Miguel Fernandes Soares,176,"Avenida Francisco Glicério, 589 - Centro"
1214,Felipe Martins Ribeiro,158,"Avenida Francisco Glicério, 385 - Centro"
1215,Thiago de Almeida Soares,186,"Avenida Francisco Glicério, 977 - Centro"
1216,Clara Mesquita Machado,182,"Avenida Brasil, 1755 - Guanabara"
1217,Matheus Amorim Amaral,200,"Avenida Andrade Neves, 1285 - Castelo"
1218,Henrique Vieira Sanches,191,"Avenida Francisco Glicério, 1013 - Centro"
1219,Larissa Santana Soares,193,"Avenida Albino José Barbosa de Oliveira, 2491 - Barão Geraldo"
1220,Guilherme Santana da Costa,173,"Avenida Anchieta, 302 - Centro"
1221,Felipe Cruz Mengue,164,"Rua Barão de Itapura, 2703 - Guanabara"
1222,Beatriz Santana Ribeiro,203,"Avenida Anchieta, 893 - Centro"
1223,Vinícius Vieira Lopes,181,"Rua Doutor Delfino Cintra, 91 - Vila Itapura"
1224,Maria Amorim Dias,181,"Rua Paula Bueno, 873 - Taquaral"
1225,Felipe Matos Rodrigues,173,"Avenida Anchieta, 461 - Centro"
1226,Livia Alves Pereira,190,"Avenida Albino José Barbosa de Oliveira, 3124 - Barão Geraldo"
1227,Gabriel Cruz Castilho,201,"Avenida Anchieta, 30 - Centro"
1228,Rafael Paschoalino Lima,198,"Rua Doutor Delfino Cintra, 447 - Vila Itapura"
1229,Larissa Cristine Lima,198,"Rua Marechal Deodoro, 1654 - Vila Itapura"
1230,Maria Santana Mendonça,201,"Avenida Heitor Penteado, 2274 - Taquaral"
1231,Thiago Matos Machado,161,"Avenida Alberto Sarmento, 536 - Castelo"
1232,Miguel de Medeiros Mendes,188,"Avenida Albino José Barbosa de Oliveira, 1262 - Barão Geraldo"
1233,Gabriel Cristine Lopes,151,"Avenida Albino José Barbosa de Oliveira, 1546 - Barão Geraldo"
1234,Eduardo Fernandes Soares,152,"Rua Barão de Itapura, 394 - Guanabara"
1235,Samuel Gomes Amaral,198,"Avenida Heitor Penteado, 2938 - Taquaral"
1236,Henrique Fernandes Amaral,186,"Avenida Albino José Barbosa de Oliveira, 643 - Barão Geraldo"
1237,Vitória Martins Domingues,198,"Avenida Francisco Glicério, 62 - Centro"
1238,Vitória Gomes Lopes,166,"Rua Doutor Delfino Cintra, 513 - Vila Itapura"
1239,Erik Alves Lopes,198,"Avenida Albino José Barbosa de Oliveira, 1626 - Barão Geraldo"
1240,Giovanna Santana Sanches,151,"Avenida Andrade Neves, 1583 - Castelo"
1241,Mariana Bellini Lima,151,"Avenida Albino José Barbosa de Oliveira, 2635 - Barão Geraldo"
1242,Larissa Martins Ribeiro,177,"Avenida Brasil, 1684 - Guanabara"
1243,Mariana Santana Melo,203,"Rua Maria Monteiro, 798 - Cambuí"
1244,Miguel Vieira Rodrigues,172,"Avenida Brasil, 805 - Guanabara"
1245,Guilherme Santana Melo,186,"Rua Doutor Delfino Cintra, 271 - Vila Itapura"
1246,Henrique Braz Mendes,181,"Rua Doutor Delfino Cintra, 531 - Vila Itapura"
1247,Clara Cruz Silva,182,"Avenida Andrade Neves, 2610 - Castelo"
1248,Gabriel Nascimento Rodrigues,150,"Avenida Andrade Neves, 246 - Castelo"
1249,Eduardo Matos dos Santos,168,"Avenida Andrade Neves, 1746 - Castelo"
1250,Clara Ponciano Domingues,151,"Avenida Alberto Sarmento, 506 - Castelo"
1251,Henrique Gomes Lopes,202,"Avenida Albino José Barbosa de Oliveira, 3340 - Barão Geraldo"
1252,Maria de Medeiros dos Santos,193,"Avenida Heitor Penteado, 2866 - Taquaral"
1253,Vitória Ponciano Pereira,175,"Avenida Alberto Sarmento, 545 - Castelo"
1254,Larissa Ferreira Rodrigues,181,"Rua Barão de Itapura, 2889 - Guanabara"
1255,André Ferreira Pereira,155,"Avenida Anchieta, 263 - Centro"
1256,Pedro Paschoalino Campos,181,"Avenida Brasil, 60 - Guanabara"
1257,Guilherme Nascimento Barbosa,204,"Rua Maria Monteiro, 1329 - Cambuí"
1258,Vitória Ponciano Mendes,153,"Avenida Andrade Neves, 1638 - Castelo"
1259,Yasmin Gomes da Costa,204,"Avenida Alberto Sarmento, 1071 - Castelo"
1260,Vinícius Santana Ribeiro,160,"Avenida Anchieta, 179 - Centro"
1261,Gabriel Bellini Domingues,166,"Rua Doutor Delfino Cintra, 268 - Vila Itapura"
1262,Pedro Paschoalino Pereira,187,"Avenida Andrade Neves, 2060 - Castelo"
1263,Henrique Queiroz Soares,173,"Rua Barão de Itapura, 2500 - Guanabara"
1264,Thiago Nascimento Araujo,154,"Rua Paula Bueno, 282 - Taquaral"
1265,Erik Fernandes Silva,201,"Rua Sampaio Ferraz, 596 - Cambuí"
1266,Vinícius Gomes Mengue,183,"Rua Doutor Delfino Cintra, 843 - Vila Itapura"
1267,Livia Ferreira Dias,155,"Avenida Anchieta, 776 - Centro"
1268,Matheus Paschoalino Amancio,171,"Avenida Anchieta, 725 - Centro"
1269,Mariana Ponciano Silva,160,"Avenida Heitor Penteado, 699 - Taquaral"
1270,Miguel de Almeida Athayde,197,"Rua Doutor Delfino Cintra, 11 - Vila Itapura"
1271,Giovanna Nascimento Pinto,165,"Rua Maria Monteiro, 1594 - Cambuí"
1272,Felipe Fernandes Pinto,182,"Avenida Andrade Neves, 2160 - Castelo"
1273,Henrique Nascimento Melo,158,"Avenida Albino José Barbosa de Oliveira, 3012 - Barão Geraldo"
1274,Larissa Ponciano Melo,155,"Avenida Albino José Barbosa de Oliveira, 732 - Barão Geraldo"
1275,Vitória Vieira Ribeiro,165,"Avenida Heitor Penteado, 2893 - Taquaral"
1276,André Gomes Athayde,178,"Avenida Francisco Glicério, 2002 - Centro"
1277,João Santana Castilho,152,"Avenida Francisco Glicério, 1855 - Centro"
1278,Clara Amorim Athayde,169,"Avenida Brasil, 770 - Guanabara"
1279,Larissa Paschoalino Trindade,185,"Avenida Francisco Glicério, 758 - Centro"
1280,Felipe Paschoalino Amaral,168,"Rua Marechal Deodoro, 631 - Vila Itapura"
1281,Eduardo Santana Silva,175,"Rua Doutor Delfino Cintra, 461 - Vila Itapura"
1282,Pedro Queiroz Senzaki,152,"Avenida Alberto Sarmento, 350 - Castelo"
1283,Victor de Oliveira Lopes,168,"Rua Coronel Quirino, 275 - Cambuí"
1284,Rafael Bellini Lima,169,"Avenida Albino José Barbosa de Oliveira, 1143 - Barão Geraldo"
1285,João de Almeida Amaral,181,"Rua Coronel Quirino, 160 - Cambuí"
1286,Vinícius Matos Senzaki,156,"Avenida Brasil, 1967 - Guanabara"
1287,Larissa de Almeida Camargo,201,"Avenida Albino José Barbosa de Oliveira, 48 - Barão Geraldo"
1288,Daniel Ferreira Mengue,190,"Rua Coronel Quirino, 1639 - Cambuí"
1289,Guilherme Ferreira Soares,182,"Rua Sampaio Ferraz, 606 - Cambuí"
1290,Livia Nascimento Rodrigues,189,"Rua Marechal Deodoro, 298 - Vila Itapura"
1291,Felipe Vieira Dias,188,"Avenida Francisco Glicério, 1548 - Centro"
1292,Rafael Amorim Trindade,167,"Rua Barão de Itapura, 2090 - Guanabara"
1293,Daniel Matos Lima,189,"Avenida Albino José Barbosa de Oliveira, 2485 - Barão Geraldo"
1294,Guilherme Queiroz Amaral,150,"Avenida Albino José Barbosa de Oliveira, 1528 - Barão Geraldo"
1295,Thiago Cristine da Costa,160,"Avenida Andrade Neves, 1301 - Castelo"
1296,Victor de Medeiros Campos,177,"Rua Marechal Deodoro, 839 - Vila Itapura"
1297,Sofia Ponciano Soares,174,"Avenida Andrade Neves, 1560 - Castelo"
1298,João Vieira Machado,199,"Avenida Brasil, 1468 - Guanabara"
1299,Mariana Braz Mengue,172,"Rua Doutor Delfino Cintra, 835 - Vila Itapura"
1300,Maria Alves Senzaki,180,"Rua Maria Monteiro, 945 - Cambuí"
1301,Maria da Silva Castilho,179,"Rua Doutor Delfino Cintra, 752 - Vila Itapura"
1302,Vitória Fernandes Rodrigues,191,"Rua Marechal Deodoro, 152 - Vila Itapura"
1303,Eduardo Ponciano Mendonça,184,"Avenida Brasil, 2183 - Guanabara"
1304,Yasmin Martins Castilho,156,"Avenida Heitor Penteado, 1519 - Taquaral"
1305,Giovanna Franco da Costa,165,"Avenida Albino José Barbosa de Oliveira, 2119 - Barão Geraldo"
1306,Sofia Alves Lopes,175,"Avenida Albino José Barbosa de Oliveira, 22 - Barão Geraldo"
1307,Maria Ferreira Melo,197,"Avenida Andrade Neves, 78 - Castelo"
1308,Henrique Santana Sanches,201,"Avenida Andrade Neves, 197 - Castelo"
1309,Clara Bellini Lopes,198,"Rua Doutor Delfino Cintra, 704 - Vila Itapura"
1310,Gabriel Fernandes Dias,151,"Avenida Albino José Barbosa de Oliveira, 2495 - Barão Geraldo"
1311,Vinícius Queiroz Pereira,150,"Avenida Albino José Barbosa de Oliveira, 3037 - Barão Geraldo"
1312,Henrique Paschoalino Ribeiro,197,"Avenida Brasil, 1436 - Guanabara"
